Category,Issue,Keywords,Description,Do,Don't,Severity,Platform
Microstructure,Irregular Tick Handling,tick-data irregular continuous-time event-driven,"Using fixed-time bars on irregular tick data loses information and introduces aliasing","Use continuous-time filters (Kalman, Leaky Integrator) that adapt to Δt between events","Force fixed time/volume bars, use standard EMA without time-weighting",CRITICAL,All HFT/Microstructure
Microstructure,Ignoring Time Between Ticks,delta-t inter-arrival-time gaps event-spacing,"Time gaps contain information (intensity, regime changes)","Weight by actual time elapsed: α = 1 - exp(-Δt/τ)","Use bar-index based counters, ignore time gaps in decay functions",HIGH,Tick-level systems
Strategy Design,Overfitting on In-Sample Data,overfitting curve-fitting parameter-optimization backtesting,"Excessive parameter tuning on historical data leads to strategy failure in live trading","Use walk-forward analysis, out-of-sample testing, limit parameters (<5), cross-validation","Optimize 10+ parameters, test only in-sample, maximize historical Sharpe",CRITICAL,All strategies
Strategy Design,Look-Ahead Bias,look-ahead-bias future-information data-leakage backtesting,"Using future data unknowingly in backtest (e.g., end-of-day indicators calculated with closing auction data)","Ensure all signals use only data available at signal time, timestamp everything","Use 'close' prices before they're known, reindex data without checking timestamps",CRITICAL,Backtesting/Research
Strategy Design,Survivorship Bias,survivorship-bias delisted-stocks dead-assets universe-bias historical,"Testing only on assets that survived (e.g., current S&P 500 components tested back to 1990)","Use point-in-time universe data, include delisted/dead assets in backtest","Test on current asset list backfilled 10 years, ignore delistings",HIGH,Equity/Crypto backtesting
Execution,Ignoring Slippage & Fees,slippage transaction-costs fees market-impact realistic-costs,"Backtests assume perfect fills at mid-price; real execution incurs slippage and fees","Model realistic slippage (0.02-0.1%), include exchange fees (0.01-0.1% per side)","Assume fills at bid/ask mid without slippage, ignore fees in backtest",CRITICAL,All live trading
Execution,Not Accounting for Liquidity,liquidity market-impact adv volume position-sizing order-size,"Large orders move the market; testing with unrealistic position sizes vs. available liquidity","Limit position size to % of ADV (1-5%), model market impact, scale in/out","Size positions at 50% of daily volume, assume instant fills for large size",CRITICAL,Institutional/Large positions
Risk Management,No Stop-Loss,stop-loss risk-control unlimited-loss drawdown catastrophic,"Running strategies without stop-loss can lead to ruin on single bad trade","Implement hard stops (ATR-based or fixed %), max drawdown limits, circuit breakers","Hope position recovers, hold through massive unrealized loss",CRITICAL,All active trading
Risk Management,Over-Leverage,leverage margin liquidation blow-up excessive-risk,"Using excessive leverage (e.g., 50x-100x) magnifies losses and leads to liquidation","Use conservative leverage (2x-5x max for most), maintain margin buffer (50%+ above maintenance)","Use maximum exchange leverage (100x+), ignore margin requirements",CRITICAL,Leveraged trading
Risk Management,Ignoring Correlation Risk,correlation diversification concentration portfolio-risk basket,"Holding positions that are highly correlated (e.g., all crypto, all tech stocks) without realizing concentration risk","Monitor correlation matrix, diversify across uncorrelated assets (<0.5 correlation)","Assume assets are independent, concentrate 100% in single sector/asset class",HIGH,Multi-asset portfolios
