STT,Indicator Name,Category,Keywords,Formula/Description,Time-Domain,Best For,Parameters,Interpretation,Limitations,Combine With,Avoid For
1,Raw TCI (Trade Classification Indicator),Microstructure,tci sign aggressor direction baseline atomic,"sign(aggressor_side) ∈ {+1,-1}",Event-time (irregular ticks),"HFT baseline, minimal latency, aggressor detection",None (atomic),"Instant direction signal, maximum noise, latency floor",High variance no smoothing assumes all volume equal,Any filter for comparison baseline Sharpe,Already using smoothed signals
2,EMA (Exponential Moving Average),Trend,ema exponential-moving-average smooth lagging momentum,"EMA_t = α·Price_t + (1-α)·EMA_{t-1}, α = 2/(N+1)",Regular bars or continuous-time adaptation,"Trend detection, crossovers, smoothing price series","Period N (12, 26, 50, 200), α (smoothing factor)","Price above EMA = bullish, below = bearish, crossover = signal",Lags price vulnerable in chop bar-dependent if not adapted,MACD RSI volume confirmation,Irregular tick data without time-weighting
3,SMA (Simple Moving Average),Trend,sma simple-moving-average average uniform lookback,"SMA = (P_1 + P_2 + ... + P_N) / N",Regular bars,"Slow trend, support/resistance levels, moving average crossovers","Period N (50, 100, 200)","Support/resistance, direction of trend, crossing signals",Heavy lag equal weight to old data sensitive to outliers,Bollinger Bands volume ATR,High-frequency data rapid changes
4,RSI (Relative Strength Index),Momentum Oscillator,rsi overbought oversold momentum oscillator wilder,"RSI = 100 - 100/(1 + RS), RS = AvgGain/AvgLoss",Regular bars (14-period standard),"Overbought/oversold conditions, divergence detection, mean reversion","Period (14), Overbought (70), Oversold (30)","RSI > 70 = overbought, < 30 = oversold, divergences predict reversals",Fails in strong trends can stay extremebar size affects calculation,Support/resistance trendlines volume,Trending breakout markets
5,MACD (Moving Average Convergence Divergence),Momentum Trend,macd histogram crossover momentum convergence-divergence,"MACD = EMA(12) - EMA(26), Signal = EMA(9) of MACD","Regular bars (daily standard, adaptable)","Trend following, momentum shifts, divergence, crossover signals","Fast (12), Slow (26), Signal (9)","MACD > Signal = bullish crossover, histogram expansion = momentum",Lagging (triple EMA) whipsaws in ranging markets,RSI Bollinger volume confirmation,Low volatility choppy conditions
6,Bollinger Bands,Volatility Range,bollinger bands volatility squeeze breakout mean-reversion,"Upper = SMA + k·σ, Lower = SMA - k·σ",Regular bars,"Volatility detection, overbought/oversold, squeeze/breakout setups","Period (20), Std Dev multiplier k (2)","Price at band = extreme, squeeze = low vol (breakout pending), expansion = high vol",Assumes normal distribution lags price,RSI MACD volume profile,Fast-moving news-driven markets
7,ATR (Average True Range),Volatility,atr average-true-range volatility stop-loss position-sizing,"TR = max(H-L, |H-C_prev|, |L-C_prev|), ATR = EMA(TR)","Regular bars (14-period standard)","Volatility measurement, stop-loss placement, position scaling","Period (14)","Higher ATR = higher volatility, used to scale risk (stops, size)",Non-directional (only magnitude) lags vol changes,Stop-loss orders position sizing breakout filters,Direction prediction profit targets
8,Stochastic Oscillator,Momentum Oscillator,stochastic overbought oversold momentum fast slow,"K = 100·(C - L_N)/(H_N - L_N), D = SMA(K, 3)","Regular bars (14-period standard)","Overbought/oversold, divergence, mean reversion in ranges","K period (14), D period (3), Overbought (80), Oversold (20)","Above 80 = overbought, below 20 = oversold, K/D cross = signal",Extreme in trends false signals bar-dependent,RSI support/resistance candlesticks,Strong trending markets
9,ADX (Average Directional Index),Trend Strength,adx directional-index trend-strength di+ di- wilder,"ADX = EMA(DX), DX = 100·|DI+ - DI-|/(DI+ + DI-)","Regular bars (14-period standard)","Trend strength measurement, filter for trend-following strategies","Period (14), Threshold (20-25 for trend)","ADX > 25 = strong trend, < 20 = weak/ranging, direction from DI+/DI-",Does not indicate direction (only strength) lagging,Momentum indicators MACD moving averages,Mean-reversion strategies ranging markets
10,OBV (On-Balance Volume),Volume Momentum,obv on-balance-volume volume accumulation-distribution,"OBV_t = OBV_{t-1} + V·sign(C_t - C_{t-1})",Regular bars (cumulative),"Volume confirmation, divergence detection, accumulation/distribution","None (cumulative volume)","Rising OBV + rising price = bullish, divergence = reversal signal",Ignores magnitude of price change noisy in low volume,Price action trendlines RSI,Low volume markets tick data
11,VWAP (Volume Weighted Average Price),Execution Benchmark,vwap volume-weighted benchmark intraday fair-value,"VWAP = Σ(Price_i·Volume_i) / ΣVolume_i",Intraday session (resets daily),"Execution benchmark, institutional anchor, intraday mean reversion","Session boundaries (RTH/ETH), Cumulative vs. Rolling","Price above VWAP = bullish intraday, institutions use as fair value reference",Resets daily (not multi-day) volume-dependent,Execution algos support/resistance volume profile,Multi-day strategies low volume instruments
12,Ichimoku Cloud,Trend Multi-Component,ichimoku cloud kijun tenkan senkou chikou japanese,"Multiple lines: Tenkan, Kijun, Senkou A/B (cloud), Chikou","Regular bars (daily typical, adaptable)","Trend direction, support/resistance, momentum, complete system","Tenkan (9), Kijun (26), Senkou B (52), Displacement (26)","Price in cloud = ranging, above cloud = bullish, below = bearish, thick cloud = strong S/R",Complex (many components) lagging in fast markets,Volume Fibonacci ATR for stops,Choppy low-volatility fast-changing markets
