STT,Risk Control,Category,Keywords,Description,Parameters,Best For,Implementation,Advantages,Disadvantages,Critical For
1,Fixed Fractional Position Sizing,Position Sizing,kelly-criterion fixed-fraction account-percentage risk-per-trade,"Risk fixed % of capital per trade (e.g., 1-2%)","Risk % (1-2%), Account size, Stop distance","Retail traders, systematic strategies, risk control","Position size = (Account · Risk%) / Stop distance in $","Simple, prevents ruin, scales with capital, consistent risk","Ignores win rate/payoff, can be too conservative or aggressive","All traders (universal rule)"
2,Kelly Criterion,Position Sizing,kelly optimal-growth edge win-rate payoff bankroll,"Optimal fraction: f* = (p·b - q)/b, where p=win rate, q=1-p, b=payoff ratio","Win rate p, Payoff ratio b (avg win/avg loss)","Professional traders, known edge, long-term growth","Calculate f*, use fraction (often 1/4 or 1/2 Kelly for safety)","Maximizes long-term growth, theoretically optimal","Requires accurate p and b, full Kelly = high volatility, bankruptcy risk if wrong","Traders with edge data, long-term compounding"
3,ATR-Based Position Sizing,Volatility Sizing,atr volatility-adjusted position dynamic risk-scaling,"Size inversely proportional to ATR: Size ∝ 1/ATR","ATR period (14), ATR multiplier (1-3x), Capital allocation","Volatility-adaptive strategies, multi-instrument portfolios","Fixed risk $ = (Capital · Risk%), Position = Risk$ / (ATR · Multiplier)","Adapts to volatility, same risk across instruments, prevents over-leverage in high vol","ATR lags, may undersize in breakouts","Multi-asset portfolios, volatility regime changes"
4,Stop-Loss Orders,Exit Rule,stop-loss risk-control exit trailing-stop hard-stop,"Exit position if price hits predefined level","Stop distance (% or ATR-based), Stop type (hard, trailing, time-based)","All active traders, risk control, prevent large losses","Place stop at entry - ATR·k or fixed %, move to breakeven after profit threshold","Limits losses, forces discipline, automated execution","Stops can be hunted, whipsaws, slippage in fast markets","All strategies (mandatory for risk control)"
5,Take-Profit Targets,Exit Rule,take-profit profit-target reward-risk exit scaling-out,"Exit full or partial position at predefined profit level","Target distance (R:R ratio, ATR multiple, fixed %), Scaling (full or partial)","Trend-following, breakout strategies, capturing profits","Set target at entry + ATR·k or fixed R:R (e.g., 2:1 or 3:1)","Locks in profits, prevents reversals, defines R:R upfront","Misses larger moves, premature exits in trends","Scalping, range trading, risk-defined strategies"
6,Trailing Stops,Dynamic Exit,trailing-stop lock-profit trend-following adaptive exit,"Stop moves with price to lock in profits, never moves against position","Trail distance (ATR, %, fixed $), Activation threshold (after X profit)","Trend-following, momentum strategies, letting winners run","Activate after profit threshold, move stop up by trail distance as price advances","Captures trends, protects profits, automatic adjustment","Stopped out in pullbacks, sensitive to trail distance","Trend strategies, breakout trades, momentum"
7,Time-Based Stops,Exit Rule,time-stop session-end intraday holding-period decay,"Exit position after fixed time period regardless of P&L","Max hold time (hours, days, sessions), Intraday (session end)","Day trading, mean-reversion, decay strategies (options theta)","Exit at session close or after N bars/hours if not stopped out","Limits overnight risk, prevents stuck positions, good for mean-reversion","Arbitrary timing, may exit before move completes","Intraday traders, option sellers, mean-reversion"
8,Maximum Drawdown Limit,Account Protection,drawdown risk-management account-protection breaker trading-suspension,"Halt trading if account drawdown exceeds threshold from peak","Max DD % (10-20%), Calculation (peak-to-trough, rolling)","Professional traders, institutional risk control, preventing ruin","Stop trading if (CurrentEquity - PeakEquity)/PeakEquity < -MaxDD%","Protects capital, forces review, prevents revenge trading","Arbitrary level, misses recovery if stopped too early","All traders (career protection)"
9,Daily Loss Limit,Intraday Control,daily-loss-limit intraday risk-control breaker stop-trading,"Stop trading for the day if daily loss exceeds limit","Daily loss $ or %, Reset time (daily, session)","Day traders, prop firms, risk discipline","Track daily P&L, stop all trading if loss > limit, resume next day","Prevents tilt, protects capital in bad days, enforces discipline","May miss recovery, psychological barrier","Day traders, high-frequency, prop traders"
10,Position Limits (Max Exposure),Concentration Risk,position-limit max-exposure concentration diversification portfolio-risk,"Limit maximum % of capital in single position or asset class","Max % per position (5-20%), Max % per sector/asset class (30-50%)","Portfolio managers, multi-strategy, institutional","Check total exposure before entry, reject if exceeds limit","Prevents concentration risk, diversification, limits single-asset blow-up","May miss best opportunities, reduces conviction sizing","All portfolios (critical for diversification)"
