STT,Strategy Name,Category,Keywords,Data Requirements,Time Horizon,Best For,Complexity,Key Parameters,Performance Characteristics,Market Conditions,Latency Sensitivity,Capital Requirements,Avoid For
1,Order Flow Imbalance (OFI),Microstructure,order flow tick-level aggressor side signed volume liquidity,"aggTrades (tick-level), price, quantity, is_buyer_maker, timestamp",Intraday (1ms-60s),"High-frequency futures, liquid crypto pairs, institutional execution",Medium,"Decay tau (2-30s), Prediction horizon (5-60s), Threshold (±2.0)","IC: 0.03-0.08, Sharpe: 1.5-3.5 annualized, Mean reversion at tails","High volatility, liquid markets, during active hours",Very High (≤10ms edge window),"$10K-$100K+ (depends on fees, slippage)",Illiquid markets low tick volume thin books
2,Dual-Scale Hawkes Process,Point Process,hawkes self-exciting intensity kernel arrival rate clustering bursty,"aggTrades, inter-arrival times, event timestamps",Ultra-short (100ms-10s),"Detecting sweeps, momentum ignition, liquidity crises, algorithmic detection",High,"α (excitation), β (decay), baseline λ₀, dual timescales (fast/slow)","Captures clustering, predicts continuation after sweeps, non-linear tail behavior","Momentum regimes, large sweeps, algo activity bursts",Extreme (≤1ms for edge),">$50K (requires co-location for profitability)",Stable quiet markets low event density mean-reverting regimes
3,Continuous-Time Kalman Filter,State-Space,kalman latent state bayesian filtering gaussian noise time-varying adaptive,"Directional signal (signed trades), irregular timestamps",Short-term (1s-5min),"Smoothing noisy signals, regime detection, adaptive execution, order placement",Medium,"Process noise Q, Measurement noise R (0.25), Adaptive α","Highest IC (0.05-0.12), smoothest signal, optimal under Gaussian assumptions","Stable trending markets, normal volatility regimes",Low (tolerates 50-200ms lag),$5K-$50K (lower latency = higher capital),High-noise chaotic markets regime shifts without adaptation
4,Leaky Integrator (TCI-IE),Signal Processing,exponential decay pressure gauge momentum density aggression accumulator,"Signed trades or signed volume, timestamps",Very short (500ms-30s),"Sweep detection, pressure measurement, tail monotonicity, momentum confirmation",Low,"Decay constant τ (618ms optimal), Input scaling","Extreme tail predictability, monotonic at |S| > 3σ, detects one-sided flow","All markets (universal), best during sweeps/liquidations",Medium (≤50ms acceptable),$1K-$20K (lower barriers),Absent for balanced two-way markets
5,VWAP Execution,Execution Algo,vwap volume-weighted participation tracking minimize impact benchmark,"Historical volume profile, real-time volume, OHLCV bars",Intraday (30min-4h),"Large order execution, institutional trading, minimizing market impact, benchmarking",Low,"Target participation rate (5-20%), Time slices, Urgency parameter","Minimize slippage vs. VWAP, tracking error ≤10bps typical","Normal volume patterns, liquid instruments during regular hours",Low (seconds acceptable),$100K+ (institutional scale),Illiquid low-volume periods breaking news events
6,TWAP Execution,Execution Algo,twap time-weighted uniform slicing predictable simple benchmark,"Price data, timestamps (no volume needed)",Intraday (15min-8h),"Simple execution, regulatory compliance, predictable flow, avoiding detection",Very Low,"Time slices (uniform), Total duration, Slice size","Even execution pace, higher impact than VWAP if volume spikes, simple to audit","Stable markets, regular hours, when volume profile unknown",Very Low (minutes acceptable),$50K+ (any institutional),High volatility breaking news volume surges
7,Statistical Arbitrage (Pairs),Mean Reversion,stat-arb cointegration spread mean-reversion correlation z-score,"Price series of 2+ instruments, sufficient history (1y+), correlation matrix",Medium-term (hours-days),"Correlated assets, market-neutral strategies, hedged exposure, relative value",Medium,"Lookback window (30-90d), Z-score threshold (±2), Half-life","Sharpe 1.0-2.5, market-neutral, relies on reversion speed","Stable correlations, normal volatility, tight spreads",Low (minutes to hours),$20K+ per pair (2x instruments),Correlation breakdowns regime shifts one-sided trends
8,Market Making (Limit Order),Liquidity Provision,market-making bid-ask spread inventory risk adverse-selection quote,"L2 order book depth, trade flow, inventory limits, tick size","Continuous (milliseconds-seconds, rolled over)","Providing liquidity, earning spread, high-frequency rebates, tight markets",High,"Spread width (tick multiples), Inventory limits (±max position), Skew adjustment","Profit from spread capture, risk from adverse selection, needs high fill rate","Stable markets with consistent two-way flow, good depth",Extreme (≤1ms for queue priority),$100K+ (inventory + margin),Directional trends low liquidity toxic flow
9,Momentum (Trend Following),Directional,momentum trend breakout moving average crossover donchian channel,"OHLC bars, volume, ATR for volatility","Medium-long (days-weeks-months)","Trending markets, commodities, crypto, macro moves, CTA strategies",Low,"MA periods (50/200), ATR multiplier (2-3x), Breakout lookback (20-55d)","Sharpe 0.5-1.5, large drawdowns, skewed PnL (many small losses, few big wins)","Strong trends, breakouts, low-correlation regime",Very Low (hours to days),$5K-$50K+ (scales well),Range-bound choppy markets mean-reverting assets
10,Mean Reversion (RSI/Bollinger),Oscillator,mean-reversion oversold overbought rsi bollinger-bands z-score contrarian,"OHLC bars, price history, volatility bands",Short-medium (minutes-hours-days),"Range-bound markets, high-volatility instruments, short-term reversals, options strategies",Low,"RSI period (14), Overbought/sold threshold (70/30), Bollinger width (2σ)","Works in ranges, fails in trends, Sharpe 0.8-2.0 in ideal conditions","Sideways markets, high volatility, after overextensions",Low (minutes acceptable),$2K-$20K (flexible),Strong trends breakouts momentum regimes
11,Volatility Arbitrage,Options/Derivatives,vol-arb realized-vol implied-vol options greeks vega gamma delta-hedging,"Options chain (IV), realized volatility, Greeks, underlying price",Medium-term (days-weeks),"Mispriced volatility, options spreads, volatility trading, dispersion strategies",High,"IV percentile, Vol lookback (20-60d), Delta-hedging frequency, Vega exposure","Profit from IV-RV spread, needs constant hedging, capital-intensive","High IV vs. low RV, stable correlations, liquid options",Low (hours for rebalancing),$50K+ (margin + options premium),Illiquid options vol regime shifts violent moves
